,date_time,main_artist,featuring,song,album
480,2018-03-11 11:22:00,Enrique Iglesias,Romeo Santos,Loco [feat. Romeo Santos],Sex And Love
481,2018-03-11 11:25:00,Enrique Iglesias,Yandel & Juan Magan,Noche Y De Dia [feat. Yandel & Juan Magan],Sex And Love (Deluxe) [Explicit]
482,2018-03-11 11:29:00,Enrique Iglesias & Juan Luis Guerra,NA,Cuando Me Enamoro,Euphoria (Standard US/Latin Version)
483,2018-03-11 11:32:00,Enrique Iglesias,Kylie Minogue,Beautiful [feat. Kylie Minogue],Sex And Love (Deluxe Edition)
484,2018-03-11 11:36:00,Enrique Iglesias,NA,Only A Woman,Sex And Love (Deluxe) [Explicit]
485,2018-03-11 11:40:00,Enrique Iglesias,Pitbull,I'm A Freak [feat. Pitbull] [Explicit],Sex And Love
486,2018-03-11 11:44:00,Enrique Iglesias,NA,You And I,Sex And Love (Deluxe Edition)
487,2018-03-11 11:47:00,Enrique Iglesias,Pitbull,Let Me Be Your Lover [feat. Pitbull],Sex And Love (Deluxe) [Explicit]
488,2018-03-11 11:51:00,Enrique Iglesias,Wisin & Yandel,No Me Digas Que No [feat. Wisin & Yandel],Euphoria (Standard US/Latin Version)
489,2018-03-11 11:55:00,Enrique Iglesias,Pitbull,Let Me Be Your Lover [feat. Pitbull],Sex And Love (Deluxe Edition)
490,2018-03-11 11:59:00,Enrique Iglesias,Marco Antonio Solís,El Perdedor [feat. Marco Antonio Solís],Sex And Love (Deluxe) [Explicit]
491,2018-03-11 12:02:00,Enrique Iglesias,Pitbull,I Like It [feat. Pitbull],Euphoria (Standard US/Latin Version)
492,2018-03-14 17:55:00,Boyce Avenue,NA,Shimmer (feat. Tyler Ward),"Cover Collaborations, Vol. 2"
493,2018-03-14 17:56:00,Justin Bieber,NA,Company,Purpose (Deluxe)
494,2018-03-14 17:59:00,Halsey,NA,Now Or Never,hopeless fountain kingdom (Deluxe) [Explicit]
495,2018-03-14 18:03:00,The Chainsmokers & Coldplay,NA,Something Just Like This,Memories...Do Not Open
496,2018-03-14 18:07:00,Alessia Cara,NA,Scars To Your Beautiful,Know-It-All (Deluxe)
497,2018-03-14 18:11:00,Tory Lanez,NA,LUV [Explicit],I Told You [Explicit]
498,2018-03-14 18:15:00,Shawn Mendes,NA,There's Nothing Holdin' Me Back,Illuminate (Deluxe)
499,2018-03-14 18:19:00,Drake,Rihanna,Too Good [feat. Rihanna],Views [Explicit]
